instrument,datetime,$close,$volume,"Ref($close, 1)","Mean($close, 3)",$high-$low
SH600000,2018-06-08,7.4249663,38146492.0,7.56748,7.503349,0.14251328
SH600000,2018-06-11,7.4249663,25266746.0,7.4249663,7.4724708,0.10688543
SH600000,2018-06-12,7.3750877,22574194.0,7.4249663,7.40834,0.07838249
SH600000,2018-06-13,7.275327,28013544.0,7.3750877,7.3584604,0.10688496
SH600000,2018-06-14,7.282453,24639766.0,7.275327,7.310956,0.071257114
SH600000,2018-06-15,7.3394585,27948166.0,7.282453,7.2990794,0.10688543
SH600000,2018-06-19,7.0686812,60328880.0,7.3394585,7.2301974,0.3064041
SH600000,2018-06-20,7.047305,26545846.0,7.0686812,7.151815,0.07838249
SH600000,2018-06-21,7.004551,33171482.0,7.047305,7.0401793,0.16389036
SH600000,2018-06-22,6.9546714,35140468.0,7.004551,7.002176,0.11401081
SH600000,2018-06-25,6.8121576,34023916.0,6.9546714,6.9237933,0.1923933
SH600000,2018-06-26,6.755151,34276130.0,6.8121576,6.84066,0.17814207
SH600000,2018-06-27,6.6767693,34963320.0,6.755151,6.748026,0.121136665
SH600000,2018-06-28,6.7694035,43141572.0,6.6767693,6.7337747,0.20664501
SH600000,2018-06-29,6.8121576,27356722.0,6.7694035,6.7527766,0.10688591
SH600000,2018-07-02,6.619764,31813194.0,6.8121576,6.733775,0.22802258
SH600000,2018-07-03,6.6625175,33854350.0,6.619764,6.6981463,0.12826252
SH600000,2018-07-04,6.6340156,20299482.0,6.6625175,6.638766,0.099760056
SH600000,2018-07-05,6.5983863,23149260.0,6.6340156,6.63164,0.0926342
SH600000,2018-07-06,6.6767693,31708438.0,6.5983863,6.63639,0.18526793
SH600000,2018-07-09,6.8406606,31116386.0,6.6767693,6.705272,0.18526793
SH600000,2018-07-10,6.819283,17405810.0,6.8406606,6.7789044,0.10688543
SH600000,2018-07-11,6.683895,21336794.0,6.819283,6.7812796,0.08550835
SH600000,2018-07-12,6.819283,27653242.0,6.683895,6.7741537,0.1567645
SH600000,2018-07-13,6.8336844,20867214.0,6.819283,6.778954,0.086411476
SH600000,2018-07-16,6.7760773,20017018.0,6.8336844,6.8096814,0.14401817
SH600000,2018-07-17,6.79768,19044056.0,6.7760773,6.8024807,0.07200861
SH600000,2018-07-18,6.8480873,26278124.0,6.79768,6.8072815,0.11521578
SH600000,2018-07-19,6.884092,25497366.0,6.8480873,6.8432865,0.06480837
SH600000,2018-07-20,7.1073203,46210196.0,6.884092,6.9465,0.34564447
SH600000,2018-07-23,7.1721287,43722716.0,7.1073203,7.0545135,0.20882702
SH600000,2018-07-24,7.215335,50583110.0,7.1721287,7.164928,0.12241602
SH600000,2018-07-25,7.215335,22066544.0,7.215335,7.200933,0.115214825
SH600000,2018-07-26,7.1721287,21117168.0,7.215335,7.200933,0.093612194
